2018/10/08 16:06:35	|	process pid: 5852  	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:06:43	|	process pid: 5852  	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/08 16:06:44	|	process pid: 5852  	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:06:51	|	process pid: 5852  	|	    6 attempt	|	    0 successful click	|	    0 timeout	|	     5 recaptcha 	|	    0 error
2018/10/08 16:06:53	|	process pid: 5852  	|	    6 attempt	|	    0 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:07:13	|	process pid: 5852  	|	    8 attempt	|	    1 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:07:23	|	process pid: 5852  	|	    9 attempt	|	    2 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:07:45	|	process pid: 5852  	|	   10 attempt	|	    3 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:07:51	|	process pid: 5852  	|	   10 attempt	|	    4 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:08:10	|	process pid: 5852  	|	   11 attempt	|	    4 successful click	|	    0 timeout	|	     7 recaptcha 	|	    0 error
2018/10/08 16:08:15	|	process pid: 5852  	|	   12 attempt	|	    4 successful click	|	    0 timeout	|	     8 recaptcha 	|	    0 error
2018/10/08 16:10:11	|	process pid: 1044  	|	    2 attempt	|	    0 successful click	|	    2 timeout	|	     1 recaptcha 	|	    0 error
2018/10/08 16:10:11	|	process pid: 1044  	|	    2 attempt	|	    0 successful click	|	    2 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:10:17	|	process pid: 1044  	|	    3 attempt	|	    0 successful click	|	    2 timeout	|	     3 recaptcha 	|	    0 error
2018/10/08 16:10:19	|	process pid: 1044  	|	    4 attempt	|	    0 successful click	|	    2 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:10:24	|	process pid: 1044  	|	    5 attempt	|	    0 successful click	|	    2 timeout	|	     5 recaptcha 	|	    0 error
2018/10/08 16:10:28	|	process pid: 1044  	|	    6 attempt	|	    0 successful click	|	    2 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:11:00	|	process pid: 1044  	|	    7 attempt	|	    1 successful click	|	    2 timeout	|	     6 recaptcha 	|	    0 error
2018/10/08 16:14:12	|	process pid: 17604 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/08 16:14:12	|	process pid: 17604 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:14:36	|	process pid: 17604 	|	    4 attempt	|	    1 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:14:36	|	process pid: 17604 	|	    4 attempt	|	    2 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:14:49	|	process pid: 17604 	|	    6 attempt	|	    2 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/08 16:14:50	|	process pid: 17604 	|	    6 attempt	|	    2 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:15:13	|	process pid: 17604 	|	    8 attempt	|	    3 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:15:14	|	process pid: 17604 	|	    8 attempt	|	    4 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:15:41	|	process pid: 17604 	|	   10 attempt	|	    5 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/09 14:30:45	|	process pid: 18664 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/09 14:30:45	|	process pid: 18664 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
